Date,Empirical_skew,Empirical_kurt,New1_skew,New1_kurt,New5_smallresid_skew,New5_smallresid_kurt,lmom_skew,lmom_kurt,TL_skew,TL_kurt,Quantile1_skew,Quantile1_kurt,Quantile2_skew,Quantile2_kurt,Quantile3_skew,Quantile3_kurt,mc_skew,modal_skew,silverman_skew,silverman_kurt,scott_skew,scott_kurt
2008-05-27,0.3044889458688229,3.719311643645647,-0.10178777547617118,5.295414345280389,-0.10178777547617118,5.295414345280389,0.016460699240710575,0.17787697922859946,-0.030501022357585512,0.09084714114400373,-0.18896352996383428,1.360147560645429,-0.08835081132288315,0.22261305700376566,-0.06709644393021841,-2.647650590621527,-0.16498383535505748,-0.1399999999999999,0.26531205207341146,3.598638100804956,0.2375834704608732,3.51670581054003
2008-05-28,0.2956589734268334,3.7086648469268164,-0.10656731516650425,5.177171290029109,-0.10656731516650425,5.177171290029109,0.013947327208632412,0.17682845623221669,-0.03449860445632836,0.08891705717351367,-0.20552353959233471,1.3405290252057456,-0.09688032834254316,0.21510713439164064,-0.07372964428827614,-2.647650590621527,-0.1696760652904351,-0.1200000000000001,0.2576513203978974,3.5898785907526474,0.23069371132411456,3.509057857421442
2008-05-29,0.3021428069773117,3.808817433658337,-0.007125334491518295,5.160489109951853,-0.007125334491518295,5.160489109951853,0.014763484603293598,0.18203352864419664,-0.033347420135176435,0.08884156257887434,-0.2158003943823851,1.2987046934309885,-0.08016733776485178,0.2609120924021018,-0.060721320325343754,-2.646549020810798,-0.15094635857926153,-0.10000000000000009,0.2625221927441728,3.670587604887612,0.23575284958746878,3.5810008378555036
2008-05-30,0.30602761404917855,3.813750396299045,-0.03828055696267669,5.303109611618756,-0.009930746073370498,5.255223361064052,0.01588110406130895,0.18255025286036713,-0.0315387242082602,0.08982303748626463,-0.2158003943823851,1.2987046934309885,-0.08196951495276258,0.26583948485880615,-0.06199684908867276,-2.646549020810798,-0.15387517640934006,-0.1200000000000001,0.26588155611828806,3.6746233059595586,0.23878404647894025,3.5845443512716204
2008-06-02,0.31518584664510524,3.8719262444462896,0.014159548098158422,5.485187350709633,0.014159548098158422,5.485187350709633,0.01952579163334619,0.18488943418544607,-0.024713251115563675,0.08776204769034457,-0.2158003943823851,1.2205909674720579,-0.07487357973072456,0.288710276821583,-0.056550517159386755,-2.646549020810798,-0.15016744640069393,-0.1200000000000001,0.27337317502361064,3.7212159716399915,0.2459299370373634,3.626334024824552
2008-06-03,0.3516036613218138,3.948139349247743,0.07661983728054265,5.941936192470731,0.07661983728054265,5.941936192470731,0.025593129695338373,0.1890826938337783,-0.01965148017171134,0.08896351846630254,-0.21300688739957532,1.1847822202597422,-0.08392908075484723,0.3072676987967471,-0.06327245355656377,-2.6441780587222303,-0.1672239417468509,-0.1399999999999999,0.30534314932946355,3.785570608994387,0.2743456510226611,3.68108046809165
2008-06-04,0.37000043017596257,3.9853092152509895,0.12164582152662404,6.094460953028963,0.11740319674210724,6.144813290389419,0.029660468019294582,0.1930646243296889,-0.014923507107566743,0.09467823874261935,-0.21815428051038385,1.2267415984652765,-0.07962846235719,0.3263015797474633,-0.05976235388370095,-2.6393055998023462,-0.1716360377684428,-0.1200000000000001,0.3227119861670571,3.821087992263636,0.2887000906466145,3.7077808362985842
2008-06-05,0.3316625351124927,3.8978737801245593,0.10712729151098473,6.187116215152681,0.10013782539824848,6.248689401395968,0.027771503029538472,0.19335318338436436,-0.01066324323744723,0.09976483308343159,-0.1987832902191949,1.2540977451886883,-0.05943713164070118,0.31239500528196107,-0.04456545637470533,-2.6393737673581694,-0.13938370249315896,-0.10000000000000009,0.28967633164264023,3.749613531465102,0.25878619629043653,3.6449730147152324
2008-06-06,0.28014006994506824,3.8493301851198938,-0.050143887141166424,7.021061567243205,-0.05211103239152777,7.0231513233064415,0.018495864869610842,0.1972334961464485,-0.01841275852643148,0.10624835645388063,-0.21815428051038385,1.3446102292990552,-0.08604904550060154,0.327042981490667,-0.06440594574505215,-2.7747103049475994,-0.1733807982030991,-0.1200000000000001,0.24610033793946032,3.7145937205903232,0.21858478258640762,3.6101025134172318
2008-06-09,0.2984318955148275,3.976695961392073,0.040660959169579604,7.599076433731276,0.040660959169579604,7.599076433731276,0.023416040706479305,0.20377083028337256,-0.011674112227507066,0.10844780332428612,-0.22100825131062826,1.298123556081224,-0.0755549371339614,0.3863516023351341,-0.056080744640388466,-2.772219523776046,-0.16391425858514436,-0.15999999999999992,0.2622747571279044,3.822194183554127,0.2328573381549788,3.7015936455922014
2008-06-10,0.29262768835725117,3.9847795514055093,-0.0032340548837493568,7.9629033036207995,-0.0032340548837493568,7.9629033036207995,0.02172204102586715,0.20556132377347053,-0.01403787172328062,0.1115876696814189,-0.22100825131062826,1.3038871644116083,-0.07262096693834891,0.3961444671057661,-0.053770142831335306,-2.772219523776046,-0.160228105101884,-0.15999999999999992,0.25712913373462504,3.8288072006362333,0.228328491710862,3.707400360896843
2008-06-11,0.36458336641368166,4.024016691828241,0.18092860228640903,6.894099273621674,0.18113329603942607,6.869579765509576,0.03434427006713008,0.20019852431024515,-0.006159512192722638,0.10525474277727924,-0.22100825131062826,1.3038871644116083,-0.061169757658258765,0.35423336603896294,-0.04545173874504896,-2.614234050445235,-0.151447551989004,-0.15999999999999992,0.3190852872165972,3.857275227994266,0.2844733204278199,3.7355857220327318
